Sample	Tumor Fraction	Ploidy
B3_S05	0.06386	2.209


B3_S05
Gender:	unknown
Tumor Fraction:	0.06386
Ploidy:	2.209
Subclone Fraction:	0.3324
Fraction Genome Subclonal:	0.2408
Fraction CNA Subclonal:	0.6208
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.039, -0.0066, 0.025, 0.055, 0.085, -0.017, 0.0039
Student's t precision: 1700, 2000, 1800, 2200, 5000, 1800, 2100
Gamma Rate Init:	4e-04
GC-Map correction MAD:	0.04029


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	0.8	2.045	NA	0.14	0.98	4585
n0.5-p3	0.57	3.003	NA	0.0058	0.0058	3620
n0.6-p2	0.8	2.045	NA	0.14	0.98	4585
n0.6-p3	0.57	3.003	NA	0.0058	0.0058	3620
n0.7-p2	0.81	2.047	NA	0.13	0.96	4588
n0.7-p3	0.9	3.088	NA	0.013	0.013	4066
n0.8-p2	0.81	2.048	NA	0.13	0.96	4588
n0.8-p3	0.89	3.096	NA	0.014	0.014	4056
n0.9-p2	0.89	2.127	NA	0.26	0.67	4736
n0.9-p3	0.9	2.995	NA	0.58	0.58	4322
n0.95-p2	0.94	2.209	NA	0.24	0.62	4795
n0.99-p2	0.97	1.63	NA	0.0058	0.0078	4485
n0.99-p3	0.99	2.454	NA	0.0058	0.0091	4496
