Sample	Tumor Fraction	Ploidy
B3_S13	0.01993	2.327


B3_S13
Gender:	unknown
Tumor Fraction:	0.01993
Ploidy:	2.327
Subclone Fraction:	0.8271
Fraction Genome Subclonal:	0.189
Fraction CNA Subclonal:	0.2866
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.013, -0.0033, 0.0067, 0.016, 0.026, -0.012, 0.005
Student's t precision: 1900, 2000, 2300, 1200, 5600, 960, 1500
Gamma Rate Init:	0.00035
GC-Map correction MAD:	0.0394


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	1	1.988	NA	0.046	1	4445
n0.5-p3	0.83	2.983	NA	0.034	0.034	3854
n0.6-p2	1	1.987	NA	0.046	1	4455
n0.6-p3	0.83	2.983	NA	0.034	0.034	3854
n0.7-p2	1	1.987	NA	0.046	1	4458
n0.7-p3	0.83	2.984	NA	0.034	0.034	3852
n0.8-p2	0.86	1.99	NA	0.16	0.97	4563
n0.8-p3	0.85	2.97	NA	0.059	0.059	3895
n0.9-p2	0.93	1.944	NA	0.29	0.87	4661
n0.9-p3	0.93	2.844	NA	0.46	0.48	4172
n0.95-p2	0.94	1.941	NA	0.38	0.87	4683
n0.99-p2	0.98	2.327	NA	0.19	0.29	4734
n0.99-p3	0.98	2.5	NA	0.21	0.34	4698
