Sample	Tumor Fraction	Ploidy
B3_S08	0.6228	2.005


B3_S08
Gender:	unknown
Tumor Fraction:	0.6228
Ploidy:	2.005
Subclone Fraction:	0.9681
Fraction Genome Subclonal:	0.09203
Fraction CNA Subclonal:	0.3733
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.37, -0.0014, 0.27, 0.48, 0.66, -0.36, 0.26
Student's t precision: 1400, 1500, 1100, 350, 240, 350, 330
Gamma Rate Init:	0.0084
GC-Map correction MAD:	0.03511


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	0.37	2.005	NA	0.028	0.11	3890
n0.5-p3	0.63	3.004	NA	0.03	0.03	3445
n0.6-p2	0.37	2.003	NA	0.035	0.13	3868
n0.6-p3	0.62	2.982	NA	0.11	0.11	3585
n0.7-p2	0.38	2.005	NA	0.092	0.37	3906
n0.7-p3	0.62	2.982	NA	0.11	0.11	3585
n0.8-p2	0.71	2.001	NA	0.18	0.7	3314
n0.8-p3	0.63	3.004	NA	0.03	0.03	3445
n0.9-p2	0.82	2.034	NA	0.18	0.58	3350
n0.9-p3	0.63	3.015	NA	0.14	0.14	3551
n0.95-p2	0.82	2.034	NA	0.18	0.58	3350
n0.99-p2	0.82	2.034	NA	0.18	0.58	3350
n0.99-p3	0.82	2.034	NA	0.18	0.58	3350
