Sample	Tumor Fraction	Ploidy
B2_S06	0.5066	2.001


B2_S06
Gender:	unknown
Tumor Fraction:	0.5066
Ploidy:	2.001
Subclone Fraction:	0.3653
Fraction Genome Subclonal:	0.03615
Fraction CNA Subclonal:	0.352
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.29, -0.00015, 0.23, 0.41, 0.57, -0.097, 0.088
Student's t precision: 1500, 1700, 1600, 1500, 1500, 930, 2200
Gamma Rate Init:	0.0013
GC-Map correction MAD:	0.03676


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	0.49	2.001	NA	0.036	0.35	4462
n0.5-p3	0.32	3	NA	0.0074	0.0074	3806
n0.6-p2	0.49	2.001	NA	0.036	0.35	4462
n0.6-p3	0.32	3	NA	0.0074	0.0074	3806
n0.7-p2	0.75	2.002	NA	0.25	0.75	4727
n0.7-p3	0.72	2.96	NA	0.15	0.15	4121
n0.8-p2	0.75	2.002	NA	0.25	0.75	4725
n0.8-p3	0.72	2.96	NA	0.15	0.15	4122
n0.9-p2	0.82	2.007	NA	0.25	0.74	4759
n0.9-p3	0.72	2.96	NA	0.15	0.15	4123
n0.95-p2	0.82	1.989	NA	0.3	0.77	4761
n0.99-p2	0.83	1.971	NA	0.38	0.81	4751
n0.99-p3	0.9	1.966	NA	0.39	0.74	4561
