Sample	Tumor Fraction	Ploidy
B3_S01	0.03636	2.357


B3_S01
Gender:	unknown
Tumor Fraction:	0.03636
Ploidy:	2.357
Subclone Fraction:	0.9197
Fraction Genome Subclonal:	0.07436
Fraction CNA Subclonal:	0.2197
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.025, -0.0065, 0.012, 0.029, 0.047, -0.023, 0.01
Student's t precision: 1800, 1400, 2300, 1300, 1700, 550, 190
Gamma Rate Init:	0.00068
GC-Map correction MAD:	0.04753


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	0.8	2.076	NA	0.18	0.92	4100
n0.5-p3	0.9	3.11	NA	0.071	0.073	3707
n0.6-p2	0.74	2.058	NA	0.18	0.92	4086
n0.6-p3	0.9	3.11	NA	0.071	0.073	3708
n0.7-p2	0.74	2.059	NA	0.18	0.92	4086
n0.7-p3	0.9	3.11	NA	0.071	0.073	3707
n0.8-p2	0.81	2.067	NA	0.19	0.92	4116
n0.8-p3	0.89	3.145	NA	0.051	0.052	3666
n0.9-p2	0.91	2.118	NA	0.063	0.23	4206
n0.9-p3	0.91	3.093	NA	0.051	0.055	3739
n0.95-p2	0.92	2.105	NA	0.065	0.22	4227
n0.99-p2	0.96	2.357	NA	0.074	0.22	4299
n0.99-p3	0.96	2.38	NA	0.074	0.22	4287
