Sample	Tumor Fraction	Ploidy
B3_S03	0.01944	2.438


B3_S03
Gender:	unknown
Tumor Fraction:	0.01944
Ploidy:	2.438
Subclone Fraction:	0.8107
Fraction Genome Subclonal:	0.07436
Fraction CNA Subclonal:	0.1377
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.014, -0.0042, 0.0054, 0.015, 0.025, -0.012, 0.0036
Student's t precision: 1300, 1200, 1100, 1100, 2100, 470, 960
Gamma Rate Init:	0.00058
GC-Map correction MAD:	0.04999


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	0.86	1.946	NA	0.16	0.98	3949
n0.5-p3	0.84	2.925	NA	0.14	0.14	3387
n0.6-p2	0.86	1.946	NA	0.16	0.98	3949
n0.6-p3	0.84	2.925	NA	0.14	0.14	3388
n0.7-p2	0.86	1.954	NA	0.16	1	3948
n0.7-p3	0.83	2.929	NA	0.15	0.15	3387
n0.8-p2	0.9	1.913	NA	0.19	0.77	4011
n0.8-p3	0.91	2.866	NA	0.19	0.19	3524
n0.9-p2	0.94	2.051	NA	0.31	0.8	4081
n0.9-p3	0.94	2.903	NA	0.041	0.046	3560
n0.95-p2	0.96	2.108	NA	0.26	0.65	4146
n0.99-p2	0.98	2.103	NA	0.22	0.38	4142
n0.99-p3	0.98	2.438	NA	0.074	0.14	4176
