type,cytoband,gene
Deletion,1q21.3,TIE1
Deletion,1q21.3,TLR5
Deletion,1q21.3,GPR137B
Deletion,1q21.3,TNNI1
Deletion,1q21.3,TNNT2
Deletion,1q21.3,TNR
Deletion,1q21.3,TOP1P1
Deletion,1q21.3,TP53BP2
Deletion,1q21.3,TPM3
Deletion,1q21.3,TPR
Deletion,1q21.3,TRAF5
Deletion,1q21.3,CCT3
Deletion,1q21.3,TSHB
Deletion,1q21.3,TSNAX
Deletion,1q21.3,TTC4
Deletion,1q21.3,TUFT1
Deletion,1q21.3,TNFSF4
Deletion,1q21.3,UCK2
Deletion,1q21.3,UQCRH
Deletion,1q21.3,UROD
Deletion,1q21.3,USF1
Deletion,1q21.3,USP1
Deletion,1q21.3,USH2A
Deletion,1q21.3,VCAM1
Deletion,1q21.3,WNT2B
Deletion,1q21.3,WNT9A
Deletion,1q21.3,ZSCAN20
Deletion,1q21.3,ZNF124
Deletion,1q21.3,SLC30A1
Deletion,1q21.3,SLC30A2
Deletion,1q21.3,LUZP1
Deletion,1q21.3,DNALI1
Deletion,1q21.3,LRP8
Deletion,1q21.3,LAPTM5
Deletion,1q21.3,BSND
Deletion,1q21.3,CSDE1
Deletion,1q21.3,EVI5
Deletion,1q21.3,DAP3
Deletion,1q21.3,NPHS2
Deletion,1q21.3,BTG2
Deletion,1q21.3,PTP4A2
Deletion,1q21.3,ARID1A
Deletion,1q21.3,HIST3H3
Deletion,1q21.3,CDC7
Deletion,1q21.3,HIST2H2AA3
Deletion,1q21.3,HIST2H2AC
Deletion,1q21.3,HIST2H2BE
Deletion,1q21.3,HIST2H4A
Deletion,1q21.3,PIP5K1A
Deletion,1q21.3,TAGLN2
Deletion,1q21.3,BCAR3
Deletion,1q21.3,ANXA9
Deletion,1q21.3,SNHG3
Deletion,1q21.3,NR0B2
Deletion,1q21.3,RAD54L
Deletion,1q21.3,GNPAT
Deletion,1q21.3,DYRK3
Deletion,1q21.3,TTF2
Deletion,1q21.3,CDC42BPA
Deletion,1q21.3,RGS5
Deletion,1q21.3,PPFIA4
Deletion,1q21.3,PIK3R3
Deletion,1q21.3,ITGA10
Deletion,1q21.3,LMO4
Deletion,1q21.3,FCN3
Deletion,1q21.3,BLZF1
Deletion,1q21.3,CDC14A
Deletion,1q21.3,DEGS1
Deletion,1q21.3,KMO
Deletion,1q21.3,YARS
Deletion,1q21.3,MKNK1
Deletion,1q21.3,AKR7A2
Deletion,1q21.3,PLPP3
Deletion,1q21.3,RTCA
Deletion,1q21.3,PTCH2
Deletion,1q21.3,EIF3I
Deletion,1q21.3,EIF4G3
Deletion,1q21.3,VAMP4
Deletion,1q21.3,PEA15
Deletion,1q21.3,B4GALT3
Deletion,1q21.3,B4GALT2
Deletion,1q21.3,B3GALT2
Deletion,1q21.3,ADAM15
Deletion,1q21.3,PABPC4
Deletion,1q21.3,FPGT
Deletion,1q21.3,PEX11B
Deletion,1q21.3,CREG1
Deletion,1q21.3,CD84
Deletion,1q21.3,FUBP1
Deletion,1q21.3,EIF2B3
Deletion,1q21.3,BCL10
Deletion,1q21.3,RAB29
Deletion,1q21.3,SELENBP1
Deletion,1q21.3,TNFSF18
Deletion,1q21.3,TAF1A
Deletion,1q21.3,MPZL1
Deletion,1q21.3,SH2D2A
Deletion,1q21.3,ARTN
Deletion,1q21.3,MAP3K6
Deletion,1q21.3,ANGPTL1
Deletion,1q21.3,DIRAS3
Deletion,1q21.3,TBX19
Deletion,1q21.3,FCGR2C
Deletion,1q21.3,SLC16A4
Deletion,1q21.3,PRPF3
Deletion,1q21.3,KCNQ4
Deletion,1q21.3,EXO1
Deletion,1q21.3,ARHGEF2
Deletion,1q21.3,DEDD
Deletion,1q21.3,ZMYM4
Deletion,1q21.3,ZMYM6
Deletion,1q21.3,XPR1
Deletion,1q21.3,FCMR
Deletion,1q21.3,MAPKAPK2
Deletion,1q21.3,GPR37L1
Deletion,1q21.3,GPR52
Deletion,1q21.3,SRSF11
Deletion,1q21.3,ZFYVE9
Deletion,1q21.3,CD101
Deletion,1q21.3,SEP15
Deletion,1q21.3,ZRANB2
Deletion,1q21.3,SNRNP40
Deletion,1q21.3,ARHGAP29
Deletion,1q21.3,AIM2
Deletion,1q21.3,GGPS1
Deletion,1q21.3,RASAL2
Deletion,1q21.3,THEMIS2
Deletion,1q21.3,ADAMTS4
Deletion,1q21.3,TMEM59
Deletion,1q21.3,SEC22B
Deletion,1q21.3,CHD1L
Deletion,1q21.3,SOX13
Deletion,1q21.3,PRDX6
Deletion,1q21.3,CLCA3P
Deletion,1q21.3,CLCA2
Deletion,1q21.3,IKBKE
Deletion,1q21.3,HS2ST1
Deletion,1q21.3,PDE4DIP
Deletion,1q21.3,IPO13
Deletion,1q21.3,SDC3
Deletion,1q21.3,SLC25A44
Deletion,1q21.3,KIAA0040
Deletion,1q21.3,KDM4A
Deletion,1q21.3,PUM1
Deletion,1q21.3,NOS1AP
Deletion,1q21.3,TMEM63A
Deletion,1q21.3,RIMS3
Deletion,1q21.3,TOMM20
Deletion,1q21.3,EFCAB14
Deletion,1q21.3,URB2
Deletion,1q21.3,ARHGEF11
Deletion,1q21.3,DNAJC6
Deletion,1q21.3,CEP350
Deletion,1q21.3,CEP170
Deletion,1q21.3,LRIG2
Deletion,1q21.3,SETDB1
Deletion,1q21.3,ZC3H11A
Deletion,1q21.3,SMG7
Deletion,1q21.3,PLPPR4
Deletion,1q21.3,UBAP2L
Deletion,1q21.3,SV2A
Deletion,1q21.3,DENND4B
Deletion,1q21.3,RABGAP1L
Deletion,1q21.3,TMCC2
Deletion,1q21.3,FAM20B
Deletion,1q21.3,ZBTB40
Deletion,1q21.3,LPGAT1
Deletion,1q21.3,KIF14
Deletion,1q21.3,RBM8A
Deletion,1q21.3,THRAP3
Deletion,1q21.3,NR1I3
Deletion,1q21.3,AKT3
Deletion,1q21.3,INSL5
Deletion,1q21.3,PIGK
Deletion,1q21.3,SCAMP3
Deletion,1q21.3,PTPRU
Deletion,1q21.3,ARPC5
Deletion,1q21.3,TSPAN2
Deletion,1q21.3,TSPAN1
Deletion,1q21.3,CELA3A
Deletion,1q21.3,PDZK1IP1
Deletion,1q21.3,WASF2
Deletion,1q21.3,PATJ
Deletion,1q21.3,PRG4
Deletion,1q21.3,GPA33
Deletion,1q21.3,STX6
Deletion,1q21.3,HNRNPR
Deletion,1q21.3,SRRM1
Deletion,1q21.3,CNKSR1
Deletion,1q21.3,SF3B4
Deletion,1q21.3,ZMPSTE24
Deletion,1q21.3,BCAS2
Deletion,1q21.3,AKR1A1
Deletion,1q21.3,WARS2
Deletion,1q21.3,BPNT1
Deletion,1q21.3,CEPT1
Deletion,1q21.3,PIAS3
Deletion,1q21.3,TESK2
Deletion,1q21.3,TIMM17A
Deletion,1q21.3,LRRN2
Deletion,1q21.3,PPIE
Deletion,1q21.3,VAV3
Deletion,1q21.3,HAX1
Deletion,1q21.3,PPIH
Deletion,1q21.3,ZBTB18
Deletion,1q21.3,C1orf61
Deletion,1q21.3,CAP1
Deletion,1q21.3,LRRC41
Deletion,1q21.3,SEMA6C
Deletion,1q21.3,LAMTOR5
Deletion,1q21.3,SLC19A2
Deletion,1q21.3,IFI44
Deletion,1q21.3,POLR3C
Deletion,1q21.3,IVNS1ABP
Deletion,1q21.3,TXNIP
Deletion,1q21.3,LEFTY1
Deletion,1q21.3,SPHAR
Deletion,1q21.3,PMVK
Deletion,1q21.3,KHDRBS1
Deletion,1q21.3,GMEB1
Deletion,1q21.3,FAM189B
Deletion,1q21.3,AP4B1
Deletion,1q21.3,NUDC
Deletion,1q21.3,PHTF1
Deletion,1q21.3,CAPN9
Deletion,1q21.3,NES
Deletion,1q21.3,KDM5B
Deletion,1q21.3,AHCYL1
Deletion,1q21.3,SRSF10
Deletion,1q21.3,SDCCAG8
Deletion,1q21.3,CFHR4
Deletion,1q21.3,CFHR3
Deletion,1q21.3,WDR3
Deletion,1q21.3,OCLM
Deletion,1q21.3,JTB
Deletion,1q21.3,MTMR11
Deletion,1q21.3,MAN1A2
Deletion,1q21.3,SF3A3
Deletion,1q21.3,MLLT11
Deletion,1q21.3,IFI44L
Deletion,1q21.3,EBNA1BP2
Deletion,1q21.3,SLC27A3
Deletion,1q21.3,KIF2C
Deletion,1q21.3,IL24
Deletion,1q21.3,TDRKH
Deletion,1q21.3,DNAJB4
Deletion,1q21.3,ADAM30
Deletion,1q21.3,RCAN3
Deletion,1q21.3,FAF1
Deletion,1q21.3,CD160
Deletion,1q21.3,GLMN
Deletion,1q21.3,HHLA3
Deletion,1q21.3,CELF3
Deletion,1q21.3,DDX20
Deletion,1q21.3,DUSP10
Deletion,1q21.3,PMF1
Deletion,1q21.3,DUSP12
Deletion,1q21.3,VPS45
Deletion,1q21.3,LYPLA2
Deletion,1q21.3,COG2
Deletion,1q21.3,CLCA4
Deletion,1q21.3,MTF2
Deletion,1q21.3,DNAJC8
Deletion,1q21.3,NTNG1
Deletion,1q21.3,PLEKHA6
Deletion,1q21.3,FOXJ3
Deletion,1q21.3,KIAA0907
Deletion,1q21.3,WDR47
Deletion,1q21.3,KIFAP3
Deletion,1q21.3,ATF6
Deletion,1q21.3,SCMH1
Deletion,1q21.3,AKR7A3
Deletion,1q21.3,TTC39A
Deletion,1q21.3,KDM1A
Deletion,1q21.3,RBM34
Deletion,1q21.3,USP33
Deletion,1q21.3,WDTC1
Deletion,1q21.3,KIF21B
Deletion,1q21.3,NMNAT2
Deletion,1q21.3,EMC1
Deletion,1q21.3,NFASC
Deletion,1q21.3,POGZ
Deletion,1q21.3,COLGALT2
Deletion,1q21.3,MAST2
Deletion,1q21.3,NCDN
Deletion,1q21.3,CLCC1
Deletion,1q21.3,SLC35D1
Deletion,1q21.3,RGL1
Deletion,1q21.3,SYT11
Deletion,1q21.3,PRRC2C
Deletion,1q21.3,FBXO28
Deletion,1q21.3,RPRD2
Deletion,1q21.3,OTUD3
Deletion,1q21.3,ADGRL2
Deletion,1q21.3,CAMSAP2
Deletion,1q21.3,KIAA1107
Deletion,1q21.3,ZCCHC11
Deletion,1q21.3,SZT2
Deletion,1q21.3,UBR4
Deletion,1q21.3,USP24
Deletion,1q21.3,SRGAP2
Deletion,1q21.3,SMG5
Deletion,1q21.3,NCSTN
Deletion,1q21.3,CRB1
Deletion,1q21.3,ITGB3BP
Deletion,1q21.3,GPR161
Deletion,1q21.3,CELA3B
Deletion,1q21.3,SLC35A3
Deletion,1q21.3,ABCB10
Deletion,1q21.3,MACF1
Deletion,1q21.3,LRRC8B
Deletion,1q21.3,ZNF281
Deletion,1q21.3,SNAPIN
Deletion,1q21.3,LPAR3
Deletion,1q21.3,DDAH1
Deletion,1q21.3,TMEM50A
Deletion,1q21.3,OPN3
Deletion,1q21.3,PHLDA3
Deletion,1q21.3,RUSC1
Deletion,1q21.3,CA14
Deletion,1q21.3,KPNA6
Deletion,1q21.3,SSBP3
Deletion,1q21.3,STX12
Deletion,1q21.3,DSTYK
Deletion,1q21.3,RAB3GAP2
Deletion,1q21.3,CFAP45
Deletion,1q21.3,LMOD1
Deletion,1q21.3,NBPF14
Deletion,1q21.3,MPC2
Deletion,1q21.3,TRIM58
Deletion,1q21.3,INTS7
Deletion,1q21.3,OLFML2B
Deletion,1q21.3,AHCTF1
Deletion,1q21.3,C1orf43
Deletion,1q21.3,CLIC4
Deletion,1q21.3,NSL1
Deletion,1q21.3,SYF2
Deletion,1q21.3,RWDD3
Deletion,1q21.3,PARS2
Deletion,1q21.3,MMACHC
Deletion,1q21.3,ZZZ3
Deletion,1q21.3,ACOT11
Deletion,1q21.3,DNM3
Deletion,1q21.3,TOR1AIP1
Deletion,1q21.3,CHTOP
Deletion,1q21.3,LDLRAP1
Deletion,1q21.3,SERBP1
Deletion,1q21.3,OR1C1
Deletion,1q21.3,PTPN22
Deletion,1q21.3,PHGDH
Deletion,1q21.3,LCE2B
Deletion,1q21.3,OR2M4
Deletion,1q21.3,OR2L2
Deletion,1q21.3,OR2L1P
Deletion,1q21.3,OPTC
Deletion,1q21.3,PLA2G2D
Deletion,1q21.3,AK5
Deletion,1q21.3,MYCBP
Deletion,1q21.3,OR10J1
Deletion,1q21.3,HEYL
Deletion,1q21.3,AGO1
Deletion,1q21.3,OR2T1
Deletion,1q21.3,RPS6KC1
Deletion,1q21.3,RNF11
Deletion,1q21.3,USP21
Deletion,1q21.3,FOXD3
Deletion,1q21.3,DIEXF
Deletion,1q21.3,TRAPPC3
Deletion,1q21.3,TAF5L
Deletion,1q21.3,CACYBP
Deletion,1q21.3,CHIA
Deletion,1q21.3,SLC39A1
Deletion,1q21.3,DISC2
Deletion,1q21.3,DISC1
Deletion,1q21.3,AHDC1
Deletion,1q21.3,RNF115
Deletion,1q21.3,KLHL20
Deletion,1q21.3,TEKT2
Deletion,1q21.3,SMPDL3B
Deletion,1q21.3,ANGPTL3
Deletion,1q21.3,LAMTOR2
Deletion,1q21.3,FLVCR1
Deletion,1q21.3,UBE2T
Deletion,1q21.3,CNIH4
Deletion,1q21.3,TMOD4
Deletion,1q21.3,GNL2
Deletion,1q21.3,GPSM2
Deletion,1q21.3,PYCR2
Deletion,1q21.3,NME7
Deletion,1q21.3,ALG6
Deletion,1q21.3,NENF
Deletion,1q21.3,IL19
Deletion,1q21.3,CERS2
Deletion,1q21.3,SLC25A24
Deletion,1q21.3,PLA2G2E
Deletion,1q21.3,DNTTIP2
Deletion,1q21.3,CRNN
Deletion,1q21.3,G0S2
Deletion,1q21.3,IL20
Deletion,1q21.3,DCAF8
Deletion,1q21.3,HP1BP3
Deletion,1q21.3,F11R
Deletion,1q21.3,TMED5
Deletion,1q21.3,RRP15
Deletion,1q21.3,GLRX2
Deletion,1q21.3,BOLA1
Deletion,1q21.3,DESI2
Deletion,1q21.3,ZNF593
Deletion,1q21.3,ZBTB7B
Deletion,1q21.3,ZNF691
Deletion,1q21.3,TXNDC12
Deletion,1q21.3,TNNI3K
Deletion,1q21.3,RRNAD1
Deletion,1q21.3,ADIPOR1
Deletion,1q21.3,SCCPDH
Deletion,1q21.3,SH3GLB1
Deletion,1q21.3,MECR
Deletion,1q21.3,APH1A
Deletion,1q21.3,UTP11
Deletion,1q21.3,TRIM17
Deletion,1q21.3,KCTD3
Deletion,1q21.3,MRTO4
Deletion,1q21.3,PLEKHO1
Deletion,1q21.3,HAO2
Deletion,1q21.3,ACP6
Deletion,1q21.3,TMEM69
Deletion,1q21.3,MRPL37
Deletion,1q21.3,IER5
Deletion,1q21.3,HOOK1
Deletion,1q21.3,SNX7
Deletion,1q21.3,UCHL5
Deletion,1q21.3,SUCO
Deletion,1q21.3,HPCAL4
Deletion,1q21.3,YTHDF2
Deletion,1q21.3,GPR89B
Deletion,1q21.3,HSD17B7
Deletion,1q21.3,UFC1
Deletion,1q21.3,DTL
Deletion,1q21.3,ZCCHC17
Deletion,1q21.3,TRIM33
Deletion,1q21.3,METTL13
Deletion,1q21.3,DPH5
Deletion,1q21.3,HSPB11
Deletion,1q21.3,OAZ3
Deletion,1q21.3,CYB5R1
Deletion,1q21.3,CMPK1
Deletion,1q21.3,ARID4B
Deletion,1q21.3,CD244
Deletion,1q21.3,GPR88
Deletion,1q21.3,DPM3
Deletion,1q21.3,WNT4
Deletion,1q21.3,YIPF1
Deletion,1q21.3,MRPS21
Deletion,1q21.3,TRMT13
Deletion,1q21.3,TMCO1
Deletion,1q21.3,ADAMTSL4
Deletion,1q21.3,CRCT1
Deletion,1q21.3,RNF186
Deletion,1q21.3,SPATA6
Deletion,1q21.3,EGLN1
Deletion,1q21.3,L1TD1
Deletion,1q21.3,MAP10
Deletion,1q21.3,RSBN1
Deletion,1q21.3,ZNHIT6
Deletion,1q21.3,GPN2
Deletion,1q21.3,LEPROT
Deletion,1q21.3,MED18
Deletion,1q21.3,TRIT1
Deletion,1q21.3,GIPC2
Deletion,1q21.3,SWT1
Deletion,1q21.3,GDAP2
Deletion,1q21.3,FAM46C
Deletion,1q21.3,GON4L
Deletion,1q21.3,GPATCH4
Deletion,1q21.3,PALMD
Deletion,1q21.3,FNBP1L
Deletion,1q21.3,ST7L
Deletion,1q21.3,PQLC2
Deletion,1q21.3,LAX1
Deletion,1q21.3,RHBDL2
Deletion,1q21.3,DUSP23
Deletion,1q21.3,ADPRHL2
Deletion,1q21.3,TRNAU1AP
Deletion,1q21.3,C1orf27
Deletion,1q21.3,C1orf109
Deletion,1q21.3,C1orf56
Deletion,1q21.3,C1orf123
Deletion,1q21.3,MARC2
Deletion,1q21.3,TTC22
Deletion,1q21.3,AIM1L
Deletion,1q21.3,SUSD4
Deletion,1q21.3,KIF26B
Deletion,1q21.3,RALGPS2
Deletion,1q21.3,GPATCH2
Deletion,1q21.3,BSDC1
Deletion,1q21.3,XKR8
Deletion,1q21.3,TMEM39B
Deletion,1q21.3,PRPF38B
Deletion,1q21.3,HEATR1
Deletion,1q21.3,CDCA8
Deletion,1q21.3,LRRC8D
Deletion,1q21.3,MSTO1
Deletion,1q21.3,DARS2
Deletion,1q21.3,PRMT6
Deletion,1q21.3,RNF220
Deletion,1q21.3,EVA1B
Deletion,1q21.3,GOLPH3L
Deletion,1q21.3,TMEM57
Deletion,1q21.3,KLHDC8A
Deletion,1q21.3,TRIM62
Deletion,1q21.3,ETNK2
Deletion,1q21.3,RAVER2
Deletion,1q21.3,KIRREL
Deletion,1q21.3,TMEM206
Deletion,1q21.3,YY1AP1
Deletion,1q21.3,ECHDC2
Deletion,1q21.3,FGGY
Deletion,1q21.3,MCOLN3
Deletion,1q21.3,SLC22A15
Deletion,1q21.3,YOD1
Deletion,1q21.3,CAMK2N1
Deletion,1q21.3,BATF3
Deletion,1q21.3,SLC30A10
Deletion,1q21.3,UBE2Q1
Deletion,1q21.3,RNPC3
Deletion,1q21.3,ITLN1
Deletion,1q21.3,ASAP3
Deletion,1q21.3,POMGNT1
Deletion,1q21.3,PNRC2
Deletion,1q21.3,LRRC40
Deletion,1q21.3,DEPDC1
Deletion,1q21.3,PIGV
Deletion,1q21.3,ZNF692
Deletion,1q21.3,IARS2
Deletion,1q21.3,MAP7D1
Deletion,1q21.3,IPO9
Deletion,1q21.3,NDC1
Deletion,1q21.3,IQCC
Deletion,1q21.3,C1orf112
Deletion,1q21.3,HHAT
Deletion,1q21.3,ENAH
Deletion,1q21.3,NUP133
Deletion,1q21.3,RCOR3
Deletion,1q21.3,C1orf106
Deletion,1q21.3,LRIF1
Deletion,1q21.3,FAM63A
Deletion,1q21.3,ADCY10
Deletion,1q21.3,DCAF6
Deletion,1q21.3,ASH1L
Deletion,1q21.3,LENEP
Deletion,1q21.3,CTTNBP2NL
Deletion,1q21.3,FAM212B
Deletion,1q21.3,DMAP1
Deletion,1q21.3,GNG12
Deletion,1q21.3,SLC50A1
Deletion,1q21.3,TMEM234
Deletion,1q21.3,MTFR1L
Deletion,1q21.3,SERTAD4
Deletion,1q21.3,KYAT3
Deletion,1q21.3,ERO1B
Deletion,1q21.3,FMN2
Deletion,1q21.3,SLAMF8
Deletion,1q21.3,CDC42SE1
Deletion,1q21.3,UBQLN4
Deletion,1q21.3,TMEM167B
Deletion,1q21.3,OLFML3
Deletion,1q21.3,SMYD2
Deletion,1q21.3,LHX9
Deletion,1q21.3,OTUD7B
Deletion,1q21.3,COQ8A
Deletion,1q21.3,RSRP1
Deletion,1q21.3,PITHD1
Deletion,1q21.3,RAB25
Deletion,1q21.3,PGLYRP4
Deletion,1q21.3,ZNF695
Deletion,1q21.3,RHBG
Deletion,1q21.3,MAN1C1
Deletion,1q21.3,SCYL3
Deletion,1q21.3,GJC2
Deletion,1q21.3,CAMK1G
Deletion,1q21.3,NIPAL3
Deletion,1q21.3,SEPN1
Deletion,1q21.3,ATP8B2
Deletion,1q21.3,VANGL2
Deletion,1q21.3,PBXIP1
Deletion,1q21.3,S100A14
Deletion,1q21.3,TMIGD3
Deletion,1q21.3,GATAD2B
Deletion,1q21.3,AMIGO1
Deletion,1q21.3,ODF2L
Deletion,1q21.3,CGN
Deletion,1q21.3,KIAA1324
Deletion,1q21.3,IGSF9
Deletion,1q21.3,LRRC7
Deletion,1q21.3,SIPA1L2
Deletion,1q21.3,KIF17
Deletion,1q21.3,ZNF687
Deletion,1q21.3,ZSWIM5
Deletion,1q21.3,POGK
Deletion,1q21.3,KIAA1522
Deletion,1q21.3,HCN3
Deletion,1q21.3,CACHD1
Deletion,1q21.3,MIER1
Deletion,1q21.3,KIAA1614
Deletion,1q21.3,BRINP2
Deletion,1q21.3,CCDC181
Deletion,1q21.3,GRHL3
Deletion,1q21.3,SLAMF7
Deletion,1q21.3,ZP4
Deletion,1q21.3,CADM3
Deletion,1q21.3,PTBP2
Deletion,1q21.3,RHOU
Deletion,1q21.3,PRUNE1
Deletion,1q21.3,DNASE2B
Deletion,1q21.3,DLGAP3
Deletion,1q21.3,IL22RA1
Deletion,1q21.3,HIVEP3
Deletion,1q21.3,KLHL12
Deletion,1q21.3,LGR6
Deletion,1q21.3,GPBP1L1
Deletion,1q21.3,HAPLN2
Deletion,1q21.3,GAS5
Deletion,1q21.3,PAPPA2
Deletion,1q21.3,BCAN
Deletion,1q21.3,GPATCH3
Deletion,1q21.3,TNN
Deletion,1q21.3,MRPS14
Deletion,1q21.3,DMRTB1
Deletion,1q21.3,DMRTA2
Deletion,1q21.3,CLSPN
Deletion,1q21.3,OXCT2
Deletion,1q21.3,RRAGC
Deletion,1q21.3,ADGRL4
Deletion,1q21.3,TINAGL1
Deletion,1q21.3,P3H1
Deletion,1q21.3,TFB2M
Deletion,1q21.3,SEMA4A
Deletion,1q21.3,TOR3A
Deletion,1q21.3,RFWD2
Deletion,1q21.3,GREM2
Deletion,1q21.3,RGS18
Deletion,1q21.3,PLA2G2F
Deletion,1q21.3,MFSD14A
Deletion,1q21.3,NUCKS1
Deletion,1q21.3,SMAP2
Deletion,1q21.3,ACBD3
Deletion,1q21.3,SMYD3
Deletion,1q21.3,ATPAF1
Deletion,1q21.3,MARC1
Deletion,1q21.3,S100PBP
Deletion,1q21.3,MEAF6
Deletion,1q21.3,RBM15
Deletion,1q21.3,EXO5
Deletion,1q21.3,CEP85
Deletion,1q21.3,ARV1
Deletion,1q21.3,ELOVL1
Deletion,1q21.3,AIDA
Deletion,1q21.3,DCLRE1B
Deletion,1q21.3,MRPS15
Deletion,1q21.3,MRPL9
Deletion,1q21.3,PINK1
Deletion,1q21.3,JMJD4
Deletion,1q21.3,MARCKSL1
Deletion,1q21.3,INTS3
Deletion,1q21.3,ZFP69B
Deletion,1q21.3,COA7
Deletion,1q21.3,PHACTR4
Deletion,1q21.3,AUNIP
Deletion,1q21.3,SCNM1
Deletion,1q21.3,ERI3
Deletion,1q21.3,C1orf50
Deletion,1q21.3,WDR77
Deletion,1q21.3,C1orf116
Deletion,1q21.3,CCDC28B
Deletion,1q21.3,C1orf35
Deletion,1q21.3,FCRL2
Deletion,1q21.3,DLEU2L
Deletion,1q21.3,NKAIN1
Deletion,1q21.3,TTC13
Deletion,1q21.3,EPS8L3
Deletion,1q21.3,CDC73
Deletion,1q21.3,MRPL24
Deletion,1q21.3,MUL1
Deletion,1q21.3,PGBD5
Deletion,1q21.3,TNFAIP8L2
Deletion,1q21.3,C1orf54
Deletion,1q21.3,TMEM53
Deletion,1q21.3,AKIRIN1
Deletion,1q21.3,HECTD3
Deletion,1q21.3,BEND5
Deletion,1q21.3,VTCN1
Deletion,1q21.3,YRDC
Deletion,1q21.3,ZYG11B
Deletion,1q21.3,PPCS
Deletion,1q21.3,LIN28A
Deletion,1q21.3,SH3D21
Deletion,1q21.3,TTLL7
Deletion,1q21.3,SNIP1
Deletion,1q21.3,C1orf115
Deletion,1q21.3,HHIPL2
Deletion,1q21.3,VASH2
Deletion,1q21.3,WDR78
Deletion,1q21.3,ZMYM1
Deletion,1q21.3,ZNF669
Deletion,1q21.3,RPAP2
Deletion,1q21.3,ZNF672
Deletion,1q21.3,FAM110D
Deletion,1q21.3,KIAA0319L
Deletion,1q21.3,DHDDS
Deletion,1q21.3,PAQR6
Deletion,1q21.3,DENND2D
Deletion,1q21.3,WLS
Deletion,1q21.3,PCNX2
Deletion,1q21.3,TRIM46
Deletion,1q21.3,MROH9
Deletion,1q21.3,RPF1
Deletion,1q21.3,SIKE1
Deletion,1q21.3,ZC3H12A
Deletion,1q21.3,TARS2
Deletion,1q21.3,WDR26
Deletion,1q21.3,TRIM45
Deletion,1q21.3,EDEM3
Deletion,1q21.3,FLAD1
Deletion,1q21.3,TRAF3IP3
Deletion,1q21.3,ZNF436
Deletion,1q21.3,SH3BP5L
Deletion,1q21.3,NPL
Deletion,1q21.3,GJA9
Deletion,1q21.3,OR6N2
Deletion,1q21.3,OR6K2
Deletion,1q21.3,OR2L5
Deletion,1q21.3,OR2G3
Deletion,1q21.3,OR2G2
Deletion,1q21.3,OR2C3
Deletion,1q21.3,SYNC
Deletion,1q21.3,CFHR5
Deletion,1q21.3,TRIM11
Deletion,1q21.3,C1orf21
Deletion,1q21.3,ANKRD13C
Deletion,1q21.3,NECTIN4
Deletion,1q21.3,SNX27
Deletion,1q21.3,ANP32E
Deletion,1q21.3,SHCBP1L
Deletion,1q21.3,TRMT1L
Deletion,1q21.3,TSSK3
Deletion,1q21.3,NUAK2
Deletion,1q21.3,VANGL1
Deletion,1q21.3,ST6GALNAC5
Deletion,1q21.3,ISG20L2
Deletion,1q21.3,HYI
Deletion,1q21.3,FCRL5
Deletion,1q21.3,FCRL4
Deletion,1q21.3,SH3BGRL3
Deletion,1q21.3,DDX59
Deletion,1q21.3,NUF2
Deletion,1q21.3,RASSF5
Deletion,1q21.3,SESN2
Deletion,1q21.3,HMCN1
Deletion,1q21.3,GPR61
Deletion,1q21.3,MIXL1
Deletion,1q21.3,STK40
Deletion,1q21.3,SPRTN
Deletion,1q21.3,TM2D1
Deletion,1q21.3,FCAMR
Deletion,1q21.3,REG4
Deletion,1q21.3,OBSCN
Deletion,1q21.3,TMEM222
Deletion,1q21.3,TEX35
Deletion,1q21.3,HORMAD1
Deletion,1q21.3,TOMM40L
Deletion,1q21.3,SYDE2
Deletion,1q21.3,ZNF644
Deletion,1q21.3,USP48
Deletion,1q21.3,ZMYND12
Deletion,1q21.3,NBPF3
Deletion,1q21.3,LRRC8C
Deletion,1q21.3,ZDHHC18
Deletion,1q21.3,SGIP1
Deletion,1q21.3,POLR3GL
Deletion,1q21.3,TMEM79
Deletion,1q21.3,NTPCR
Deletion,1q21.3,EFCAB2
Deletion,1q21.3,ACBD6
Deletion,1q21.3,PROK1
Deletion,1q21.3,MLK4
Deletion,1q21.3,EFCAB7
Deletion,1q21.3,ZBTB37
Deletion,1q21.3,NT5C1A
Deletion,1q21.3,LCE3D
Deletion,1q21.3,TRIM63
Deletion,1q21.3,PSRC1
Deletion,1q21.3,FAM167B
Deletion,1q21.3,FOXD2-AS1
Deletion,1q21.3,FCRLA
Deletion,1q21.3,ANKRD36BP1
Deletion,1q21.3,ZNF496
Deletion,1q21.3,HPDL
Deletion,1q21.3,ATP1A1-AS1
Deletion,1q21.3,AGBL4
Deletion,1q21.3,MFSD2A
Deletion,1q21.3,C1orf198
Deletion,1q21.3,PPP1R15B
Deletion,1q21.3,ATG4C
Deletion,1q21.3,MAEL
Deletion,1q21.3,PRPF38A
Deletion,1q21.3,SYTL1
Deletion,1q21.3,LSM10
Deletion,1q21.3,C1orf94
Deletion,1q21.3,DISP1
Deletion,1q21.3,SNHG12
Deletion,1q21.3,STRIP1
Deletion,1q21.3,RGS8
Deletion,1q21.3,SLC45A3
Deletion,1q21.3,DOCK7
Deletion,1q21.3,WNT3A
Deletion,1q21.3,NAV1
Deletion,1q21.3,SEC16B
Deletion,1q21.3,AQP10
Deletion,1q21.3,LHX4
