gene	n_patients_altered	freq_pct	n_gain	n_loss	patients	in_ptcl_list	in_cbioportal_cna	in_cbioportal_mut	evidence_tier
PTPRT	5	25	4	1	B1_S05, B2_S07, B2_S08, B2_S15, B3_S04	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
RET	5	25	3	2	B2_S02, B2_S08, B2_S12, B2_S16, B3_S08	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
SRC	5	25	4	1	B1_S05, B2_S07, B2_S08, B2_S15, B3_S04	FALSE	TRUE	FALSE	Tier 2 (cBioPortal CNA)
ASXL1	4	20	4	0	B2_S07, B2_S08, B2_S15, B3_S04	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
BRAF	4	20	4	0	B2_S08, B2_S12, B2_S15, B2_S16	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
DTX1	4	20	2	2	B2_S03, B2_S08, B2_S15, B3_S05	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
EPHA5	4	20	3	1	B2_S01, B2_S02, B2_S12, B2_S15	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
HNF1A	4	20	2	2	B2_S03, B2_S08, B2_S15, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
KDR	4	20	2	2	B2_S01, B2_S02, B2_S12, B2_S15	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
KIT	4	20	2	2	B2_S01, B2_S02, B2_S12, B2_S15	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
KMT5A	4	20	2	2	B2_S03, B2_S08, B2_S15, B3_S05	FALSE	TRUE	FALSE	Tier 2 (cBioPortal CNA)
KSR2	4	20	2	2	B2_S03, B2_S08, B2_S15, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
MET	4	20	4	0	B2_S08, B2_S12, B2_S15, B2_S16	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
PDGFRA	4	20	2	2	B2_S01, B2_S02, B2_S12, B2_S15	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PIK3CG	4	20	4	0	B2_S08, B2_S12, B2_S15, B2_S16	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
PIM1	4	20	2	2	B1_S05, B2_S04, B3_S04, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
POT1	4	20	4	0	B2_S08, B2_S12, B2_S15, B2_S16	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
SETD1B	4	20	2	2	B2_S03, B2_S08, B2_S15, B3_S05	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
SH2B3	4	20	2	2	B2_S03, B2_S08, B2_S15, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
SMO	4	20	4	0	B2_S08, B2_S12, B2_S15, B2_S16	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
SP140	4	20	2	2	B1_S02, B1_S05, B2_S08, B3_S09	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
TET2	4	20	3	1	B2_S01, B2_S02, B2_S12, B2_S15	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
CCND3	3	15	2	1	B1_S05, B2_S04, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
