gene	n_patients_altered	freq_pct	n_gain	n_loss	patients	in_ptcl_list	in_cbioportal_cna	in_cbioportal_mut	evidence_tier
CD58	8	40	4	4	B1_S01, B1_S02, B2_S02, B2_S05, B2_S08, B2_S15, B3_S05, B3_S06	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
CTNNB1	8	40	5	3	B1_S01, B2_S03, B2_S04, B2_S05, B2_S12, B2_S15, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
DNMT3A	8	40	6	2	B1_S05, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S08, B3_S09	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
EPHA7	8	40	1	7	B1_S05, B2_S03, B2_S04, B2_S05, B2_S08, B2_S12, B2_S16, B3_S08	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
EPHB1	8	40	4	4	B1_S01, B2_S03, B2_S04, B2_S05, B2_S12, B2_S16, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
FBXO11	8	40	6	2	B1_S05, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
MLH1	8	40	5	3	B1_S01, B2_S03, B2_S04, B2_S05, B2_S12, B2_S15, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
MSH6	8	40	6	2	B1_S05, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
MYC	8	40	7	1	B1_S01, B2_S01, B2_S03, B2_S04, B2_S07, B2_S12, B2_S16, B3_S01	TRUE	FALSE	FALSE	Tier 1 (PTCL gene list)
MYCN	8	40	6	2	B1_S05, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
NOTCH2	8	40	4	4	B1_S01, B1_S02, B2_S02, B2_S05, B2_S08, B2_S15, B3_S05, B3_S06	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PAX5	8	40	6	3	B2_S01, B2_S04, B2_S07, B2_S08, B2_S12, B2_S15, B3_S01, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PBRM1	8	40	4	4	B1_S01, B2_S03, B2_S04, B2_S05, B2_S15, B3_S04, B3_S05, B3_S09	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
PCBP1	8	40	6	2	B1_S05, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PIK3C3	8	40	5	3	B1_S01, B2_S03, B2_S04, B2_S12, B2_S15, B2_S16, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
RHOA	8	40	4	4	B1_S01, B2_S03, B2_S04, B2_S05, B2_S15, B3_S04, B3_S05, B3_S09	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
RICTOR	8	40	8	0	B1_S02, B1_S05, B2_S02, B2_S05, B2_S06, B2_S08, B2_S15, B3_S06	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
RIT1	8	40	6	2	B1_S01, B1_S02, B2_S02, B2_S04, B2_S07, B2_S08, B2_S15, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
ROS1	8	40	1	7	B1_S05, B2_S03, B2_S04, B2_S05, B2_S12, B2_S16, B3_S01, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
RUNX1T1	8	40	6	2	B1_S01, B2_S01, B2_S04, B2_S07, B2_S12, B2_S15, B2_S16, B3_S01	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
